Migrant	Migrant	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
vlucht	vluchten	WW(pv,tgw,ev)	B-VP	O
snelweg	snelweg	BW()	B-ADVP	O
op	op	VZ(fin)	O	O
en	en	VG(neven)	O	O
wordt	worden	WW(pv,tgw,met-t)	B-VP	O
doodgereden	doodrijden	WW(vd,vrij,zonder)	I-VP	O
				
Een	een	LID(onbep)	B-NP	O
jonge	jong	ADJ(prenom,basis,met-e,stan)	I-NP	O
vluchteling	vluchteling	N(soort,ev,basis,zijd,stan)	I-NP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
maandagavond	maandagavond	N(soort,ev,basis,zijd,stan)	B-NP	O
rond	rond	VZ(init)	B-PP	O
23	23	TW(hoofd,vrij)	B-NP	O
uur	uur	N(soort,ev,basis,onz,stan)	I-NP	O
om	om	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
leven	leven	N(soort,ev,basis,onz,stan)	I-NP	O
gekomen	komen	WW(vd,vrij,zonder)	B-VP	O
toen	toen	VG(onder)	O	O
hij	hij	VNW(pers,pron,3,ev,masc)	B-NP	O
de	de	LID(bep)	B-NP	O
autosnelweg	autosnelweg	N(soort,ev,basis,zijd,stan)	I-NP	O
in	in	VZ(init)	B-PP	O
Jabbeke	Jabbeke	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
probeerde	proberen	WW(pv,verl,ev)	B-VP	O
over	over	VZ(fin)	O	O
te	te	VZ(init)	B-VP	O
steken	steken	WW(inf,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
Hij	hij	VNW(pers,pron,3,ev,masc)	B-NP	O
werd	worden	WW(pv,verl,ev)	B-VP	O
gegrepen	grijpen	WW(vd,vrij,zonder)	I-VP	O
door	door	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
wagen	wagen	N(soort,ev,basis,zijd,stan)	I-NP	O
en	en	VG(neven)	O	O
overleed	overlijden	WW(pv,verl,ev)	B-VP	O
ter	te	VZ(versm)	B-NP	O
plaatse	plaats	N(soort,ev,basis,dat)	I-NP	O
aan	aan	VZ(init)	B-PP	O
zijn	zijn	VNW(bez,det,3,ev)	B-NP	O
verwondingen	verwonding	N(soort,mv,basis)	I-NP	O
.	.	LET()	O	O
				
De	de	LID(bep)	B-NP	O
jongeman	jongeman	N(soort,ev,basis,zijd,stan)	I-NP	O
vluchtte	vluchten	WW(pv,verl,ev)	B-VP	O
voor	voor	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
controle	controle	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
politie	politie	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
