Slovaaks	Slovaak	N(eigen,ev,basis,gen)	B-NP	B-PER
gezin	gezin	N(soort,ev,basis,onz,stan)	I-NP	O
uit	uit	VZ(init)	B-PP	O
Gents	gents	ADJ(prenom,basis,zonder)	B-NP	B-LOC
kraakpand	kraakpand	N(soort,ev,basis,onz,stan)	I-NP	O
gezet	zetten	WW(vd,vrij,zonder)	B-VP	O
				
Uiteindelijk	uiteindelijk	ADJ(vrij,basis,zonder)	B-AP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
het	het	LID(bep)	B-NP	O
gisterochtend	gisterochtend	N(soort,ev,basis,onz,stan)	I-NP	O
in	in	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
kraakpand	kraakpand	N(soort,ev,basis,onz,stan)	I-NP	O
op	op	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Hundelgemsesteenweg	Hundelgemsesteenweg	N(eigen,ev,basis,zijd,stan)	I-NP	B-LOC
in	in	VZ(init)	B-PP	O
Ledeberg	Ledeberg	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
niet	niet	BW()	B-ADVP	O
tot	tot	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
confrontatie	confrontatie	N(soort,ev,basis,zijd,stan)	I-NP	O
gekomen	komen	WW(vd,vrij,zonder)	B-VP	O
tussen	tussen	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
krakers	kraker	N(soort,mv,basis)	I-NP	O
en	en	VG(neven)	O	O
de	de	LID(bep)	B-NP	O
arm	arm	N(soort,ev,basis,zijd,stan)	I-NP	O
der	de	LID(bep)	B-NP	O
wet	wet	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
Net	net	BW()	B-ADVP	O
voor	voor	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
politie	politie	N(soort,ev,basis,zijd,stan)	I-NP	O
arriveerde	arriveren	WW(pv,verl,ev)	B-VP	O
om	om	VZ(init)	B-PP	O
hen	hen	VNW(pers,pron,3p,mv)	B-NP	O
uit	uit	VZ(fin)	O	O
te	te	VZ(init)	B-VP	O
zetten	zetten	WW(inf,vrij,zonder)	I-VP	O
,	,	LET()	O	O
hadden	hebben	WW(pv,verl,mv)	B-VP	O
ze	ze	VNW(pers,pron,3,mv)	B-NP	O
besloten	besluiten	WW(pv,verl,mv)	B-VP	O
het	het	LID(bep)	B-NP	O
pand	pand	N(soort,ev,basis,onz,stan)	I-NP	O
te	te	VZ(init)	B-VP	O
verlaten	verlaten	WW(inf,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
Al	al	BW()	B-ADVP	O
probeerden	proberen	WW(pv,verl,mv)	B-VP	O
ze	ze	VNW(pers,pron,3,mv)	B-NP	O
tot	tot	VZ(init)	B-PP	O
twee	twee	TW(hoofd,prenom,stan)	B-NP	O
keer	keer	N(soort,ev,basis,genus,stan)	I-NP	O
toe	toe	VZ(fin)	O	O
om	om	VZ(init)	O	O
achter	achter	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
rug	rug	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
agenten	agent	N(soort,mv,basis)	I-NP	O
weer	weer	BW()	B-ADVP	O
binnen	binnen	VZ(fin)	O	O
te	te	VZ(init)	B-VP	O
glippen	glippen	WW(inf,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
