Vrouw	Vrouw	SPEC(deeleigen)	B-NP	B-PER
doodgestoken	doodsteken	WW(vd,vrij,zonder)	B-VP	O
door	door	VZ(init)	B-PP	O
ex-man	ex-man	N(soort,ev,basis,zijd,stan)	B-NP	O
aan	aan	VZ(init)	B-PP	O
rechtbank	rechtbank	N(soort,ev,basis,zijd,stan)	B-NP	O
vlak	vlak	BW()	B-ADVP	O
nadat	nadat	VG(onder)	O	O
hun	hun	VNW(bez,det,3,mv)	B-NP	O
scheiding	scheiding	N(soort,ev,basis,zijd,stan)	I-NP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
uitgesproken	uitspreken	WW(vd,vrij,zonder)	I-VP	O
				
Aan	aan	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
gerechtsgebouw	gerechtsgebouw	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
Veurne	Veurne	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
is	zijn	WW(pv,tgw,ev)	B-VP	O
woensdagochtend	woensdagochtend	ADJ(vrij,basis,zonder)	B-AP	O
een	een	LID(onbep)	B-NP	O
60-jarige	60-jarig	ADJ(prenom,basis,met-e,stan)	I-NP	O
vrouw	vrouw	N(soort,ev,basis,zijd,stan)	I-NP	O
overleden	overlijden	WW(vd,vrij,zonder)	B-VP	O
bij	bij	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
steekpartij	steekpartij	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
Dat	dat	VNW(aanw,pron,3o,ev)	B-NP	O
bevestigt	bevestigen	WW(pv,tgw,met-t)	B-VP	O
het	het	LID(bep)	B-NP	O
parket	parket	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
West-Vlaanderen	West-Vlaanderen	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
,	,	LET()	O	O
afdeling	afdeling	N(soort,ev,basis,zijd,stan)	B-NP	O
Veurne	Veurne	N(eigen,ev,basis,onz,stan)	I-NP	B-LOC
.	.	LET()	O	O
				
Haar	haar	VNW(bez,det,3,ev)	B-NP	O
ex-man	ex-man	N(soort,ev,basis,zijd,stan)	I-NP	O
(	(	LET()	O	O
68	68	TW(hoofd,vrij)	B-NP	O
)	)	LET()	O	O
uit	uit	VZ(init)	B-PP	O
Lo-Reninge	Lo-Reninge	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
is	zijn	WW(pv,tgw,ev)	B-VP	O
opgepakt	oppakken	WW(vd,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
