Eindelijk	eindelijk	BW()	B-ADVP	O
overwinning	overwinning	N(soort,ev,basis,zijd,stan)	B-NP	O
voor	voor	VZ(init)	B-PP	O
Trump	Trump	N(eigen,ev,basis,onz,stan)	B-NP	B-PER
:	:	LET()	O	O
Amerikaanse	Amerikaans	ADJ(prenom,basis,met-e,stan)	B-NP	B-LOC
Senaat	senaat	N(soort,ev,basis,zijd,stan)	I-NP	B-ORG
keurt	keuren	WW(pv,tgw,met-t)	B-VP	O
fiscale	fiscaal	ADJ(prenom,basis,met-e,stan)	B-NP	O
hervorming	hervorming	N(soort,ev,basis,zijd,stan)	I-NP	O
goed	goed	ADJ(vrij,basis,zonder)	B-AP	O
				
De	de	LID(bep)	B-NP	O
Amerikaanse	Amerikaans	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
Senaat	senaat	N(soort,ev,basis,zijd,stan)	I-NP	B-ORG
heeft	hebben	WW(pv,tgw,met-t)	B-VP	O
in	in	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
nacht	nacht	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
vrijdag	vrijdag	N(eigen,ev,basis,zijd,stan)	B-NP	O
op	op	VZ(init)	B-PP	O
zaterdag	zaterdag	N(eigen,ev,basis,zijd,stan)	B-NP	O
een	een	LID(onbep)	B-NP	O
ambitieuze	ambitieus	ADJ(prenom,basis,met-e,stan)	I-NP	O
fiscale	fiscaal	ADJ(prenom,basis,met-e,stan)	I-NP	O
hervorming	hervorming	N(soort,ev,basis,zijd,stan)	I-NP	O
goedgekeurd	goedkeuren	WW(vd,vrij,zonder)	B-VP	O
,	,	LET()	O	O
een	een	LID(onbep)	B-NP	O
belangrijke	belangrijk	ADJ(prenom,basis,met-e,stan)	I-NP	O
overwinning	overwinning	N(soort,ev,basis,zijd,stan)	I-NP	O
voor	voor	VZ(init)	B-PP	O
president	president	N(soort,ev,basis,zijd,stan)	B-NP	O
Donald	Donald	SPEC(deeleigen)	I-NP	B-PER
Trump	Trump	SPEC(deeleigen)	I-NP	I-PER
.	.	LET()	O	O
				
Het	het	LID(bep)	B-NP	O
ontwerp	ontwerp	N(soort,ev,basis,onz,stan)	I-NP	O
werd	worden	WW(pv,verl,ev)	B-VP	O
na	na	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
urenlang	urenlang	ADJ(prenom,basis,zonder)	I-NP	O
debat	debat	N(soort,ev,basis,onz,stan)	I-NP	O
met	met	VZ(init)	B-PP	O
51	51	TW(hoofd,vrij)	B-NP	O
tegen	tegen	VZ(init)	B-PP	O
49	49	TW(hoofd,prenom,stan)	B-NP	O
stemmen	stem	N(soort,mv,basis)	I-NP	O
goedgekeurd	goedkeuren	WW(vd,vrij,zonder)	B-VP	O
.	.	LET()	O	O
				
Senator	senator	N(soort,ev,basis,zijd,stan)	B-NP	O
Bob	Bob	SPEC(deeleigen)	I-NP	B-PER
Corker	Corker	SPEC(deeleigen)	I-NP	I-PER
stemde	stemmen	WW(pv,verl,ev)	B-VP	O
als	als	VZ(init)	B-PP	O
enige	enig	VNW(onbep,det)	B-NP	O
Republikein	republikein	N(soort,ev,basis,zijd,stan)	I-NP	B-MISC
tegen	tegen	VZ(fin)	O	O
.	.	LET()	O	O
				
