Plastic	Plastic	SPEC(deeleigen)	B-NP	B-PER
zakjes	zak	N(soort,mv,dim)	I-NP	O
,	,	LET()	O	O
het	het	LID(bep)	B-NP	O
verderf	verderf	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
Rwanda	Rwanda	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
				
Boetes	boete	N(soort,mv,basis)	B-NP	O
,	,	LET()	O	O
celstraffen	celstraf	N(soort,mv,basis)	B-NP	O
en	en	VG(neven)	O	O
zelfs	zelfs	BW()	B-ADVP	O
publieke	publiek	ADJ(prenom,basis,met-e,stan)	B-NP	O
vernederingen	vernedering	N(soort,mv,basis)	I-NP	O
in	in	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
krant	krant	N(soort,ev,basis,zijd,stan)	I-NP	O
en	en	VG(neven)	O	O
op	op	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
nationale	nationaal	ADJ(prenom,basis,met-e,stan)	I-NP	O
radio	radio	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
Rwanda	Rwanda	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
treedt	treden	WW(pv,tgw,met-t)	B-VP	O
ongemeen	ongemeen	BW()	B-AP	O
hard	hard	ADJ(vrij,basis,zonder)	I-AP	O
op	op	VZ(fin)	O	O
tegen	tegen	VZ(init)	B-PP	O
wie	wie	VNW(vb,pron,3p,getal)	B-NP	O
betrapt	betrappen	WW(vd,vrij,zonder)	B-VP	O
wordt	worden	WW(pv,tgw,met-t)	I-VP	O
met	met	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
plastic	plastic	ADJ(prenom,basis,zonder)	I-NP	O
zakje	zak	N(soort,ev,dim,onz,stan)	I-NP	O
in	in	VZ(init)	B-PP	O
zijn	zijn	VNW(bez,det,3,ev)	B-NP	O
bezit	bezit	N(soort,ev,basis,onz,stan)	I-NP	O
.	.	LET()	O	O
				
Aan	aan	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
grens	grens	N(soort,ev,basis,zijd,stan)	I-NP	O
wordt	worden	WW(pv,tgw,met-t)	B-VP	O
er	er	VNW(aanw,adv-pron,3,getal)	B-NP	O
even	even	BW()	B-ADVP	O
hard	hard	ADJ(vrij,basis,zonder)	B-AP	O
naar	naar	VZ(init)	O	O
gezocht	zoeken	WW(vd,vrij,zonder)	B-VP	O
als	als	VG(onder)	O	O
naar	naar	VZ(init)	B-PP	O
drugs	drug	N(soort,mv,basis)	B-NP	O
,	,	LET()	O	O
wapens	wapen	N(soort,mv,basis)	B-NP	O
en	en	VG(neven)	O	O
diamanten	diamant	N(soort,mv,basis)	B-NP	O
.	.	LET()	O	O
				
