Nasa	nasa	SPEC(afk)	O	B-ORG
wil	willen	WW(pv,tgw,ev)	B-VP	O
tegen	tegen	VZ(init)	B-PP	O
2023	2023	TW(hoofd,vrij)	B-NP	O
ruimtestation	ruimtestation	N(soort,ev,basis,onz,stan)	I-NP	O
rond	rond	VZ(init)	B-PP	O
maan	maan	N(soort,ev,basis,zijd,stan)	B-NP	O
				
Tegen	tegen	VZ(init)	B-PP	O
2023	2023	TW(hoofd,vrij)	B-NP	O
zou	zullen	WW(pv,verl,ev)	B-VP	O
het	het	LID(bep)	B-NP	O
bemanningsdeel	bemanningsdeel	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	O	O
het	het	LID(bep)	O	O
'	'	LET()	O	O
Lunar	lunar	SPEC(vreemd)	O	O
orbital	orbital	SPEC(vreemd)	O	O
platform-gateway	platform-gateway	SPEC(vreemd)	O	O
'	'	LET()	O	O
klaar	klaar	ADJ(vrij,basis,zonder)	B-AP	O
moeten	moeten	WW(inf,vrij,zonder)	B-VP	O
zijn	zijn	WW(inf,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
Dat	dat	VNW(aanw,pron,3o,ev)	B-NP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
een	een	LID(onbep)	B-NP	O
ruimtestation	ruimtestation	N(soort,ev,basis,onz,stan)	I-NP	O
in	in	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
baan	baan	N(soort,ev,basis,zijd,stan)	I-NP	O
rond	rond	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
maan	maan	N(soort,ev,basis,zijd,stan)	I-NP	O
,	,	LET()	O	O
dat	dat	VNW(betr,pron,3,ev)	B-NP	O
als	als	VZ(init)	B-PP	O
uitvalsbasis	uitvalsbasis	N(soort,ev,basis,zijd,stan)	B-NP	O
kan	kunnen	WW(pv,tgw,ev)	B-VP	O
dienen	dienen	WW(inf,vrij,zonder)	I-VP	O
voor	voor	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
verdere	ver	ADJ(prenom,comp,met-e,stan)	I-NP	O
bemande	beman	WW(od,prenom,met-e)	I-NP	O
verkenning	verkenning	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
ruimte	ruimte	N(soort,ev,basis,zijd,stan)	I-NP	O
,	,	LET()	O	O
en	en	VG(neven)	O	O
met	met	VZ(init)	B-NP	O
name	naam	N(soort,ev,basis,dat)	I-NP	O
Mars	Mars	N(eigen,ev,basis,zijd,stan)	I-NP	B-LOC
.	.	LET()	O	O
				
