Bondgenoten	bondgenoot	N(soort,mv,basis)	B-NP	B-ORG
Kiev	Kiev	SPEC(deeleigen)	I-NP	I-ORG
steunen	steunen	WW(pv,tgw,mv)	B-VP	O
internationale	internationaal	ADJ(prenom,basis,met-e,stan)	B-NP	O
vredesmissie	vredesmissie	N(soort,ev,basis,zijd,stan)	I-NP	O
				
Op	op	VZ(init)	B-PP	O
bezoek	bezoek	N(soort,ev,basis,onz,stan)	B-NP	O
in	in	VZ(init)	B-PP	O
Berlijn	Berlijn	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
kaart	karen	WW(pv,tgw,met-t)	B-VP	O
de	de	LID(bep)	B-NP	O
Oekraïense	oekraïens	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
president	president	N(soort,ev,basis,zijd,stan)	I-NP	O
Petro	Petro	SPEC(deeleigen)	I-NP	B-PER
Porosjenko	Porosjenko	SPEC(deeleigen)	I-NP	I-PER
de	de	LID(bep)	B-NP	O
oprichting	oprichting	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
internationale	internationaal	ADJ(prenom,basis,met-e,stan)	I-NP	O
troepenmacht	troepenmacht	N(soort,ev,basis,zijd,stan)	I-NP	O
voor	voor	VZ(init)	B-PP	O
Oost-Oekraïne	Oost-Oekraïne	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
weer	weer	BW()	B-ADVP	O
aan	aan	VZ(fin)	O	O
.	.	LET()	O	O
				
Maar	maar	VG(neven)	O	O
dan	dan	BW()	B-ADVP	O
niet	niet	BW()	B-ADVP	O
de	de	LID(bep)	B-NP	O
light-versie	light-versie	N(soort,ev,basis,zijd,stan)	I-NP	O
die	die	VNW(betr,pron,persoon,getal)	B-NP	O
president	president	N(soort,ev,basis,zijd,stan)	I-NP	O
Poetin	Poetin	N(eigen,ev,basis,zijd,stan)	I-NP	B-PER
eerder	eerder	BW()	B-ADVP	O
voorstelde	voorstellen	WW(pv,verl,ev)	B-VP	O
.	.	LET()	O	O
				
