Chaos	Chaos	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
na	na	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
Catalaanse	Catalaans	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
verkiezingen	verkiezing	N(soort,mv,basis)	I-NP	O
				
Alleen	alleen	BW()	B-ADVP	O
de	de	LID(bep)	B-NP	O
drie	drie	TW(hoofd,prenom,stan)	I-NP	O
separatistische	separatistisch	ADJ(prenom,basis,met-e,stan)	I-NP	O
partijen	partij	N(soort,mv,basis)	I-NP	O
samen	samen	BW()	B-ADVP	O
hebben	hebben	WW(pv,tgw,mv)	B-VP	O
een	een	LID(onbep)	B-NP	O
meerderheid	meerderheid	N(soort,ev,basis,zijd,stan)	I-NP	O
in	in	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
parlement	parlement	N(soort,ev,basis,onz,stan)	I-NP	O
.	.	LET()	O	O
				
Maar	maar	VG(neven)	O	O
hun	hun	VNW(bez,det,3,mv)	B-NP	O
kopstukken	kopstuk	N(soort,mv,basis)	I-NP	O
zitten	zitten	WW(pv,tgw,mv)	B-VP	O
in	in	VZ(init)	B-PP	O
voorhechtenis	voorhechtenis	N(soort,ev,basis,zijd,stan)	B-NP	O
of	of	VG(neven)	O	O
zijn	zijn	WW(pv,tgw,mv)	B-VP	O
op	op	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
vlucht	vlucht	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
Wat	wat	VNW(vb,pron,3o,ev)	B-NP	O
nu	nu	BW()	B-ADVP	O
?	?	LET()	O	O
				
