België	België	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
steunt	steunen	WW(pv,tgw,met-t)	B-VP	O
verbod	verbod	N(soort,ev,basis,onz,stan)	B-NP	O
op	op	VZ(init)	B-PP	O
glyfosaat	glyfosaat	N(soort,ev,basis,zijd,stan)	B-NP	O
				
Ons	ons	VNW(bez,det,1,mv)	B-NP	O
land	land	N(soort,ev,basis,onz,stan)	I-NP	O
steunt	steunen	WW(pv,tgw,met-t)	B-VP	O
de	de	LID(bep)	B-NP	O
resolutie	resolutie	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
Europees	Europees	ADJ(prenom,basis,zonder)	I-NP	B-ORG
Parlement	parlement	N(soort,ev,basis,onz,stan)	I-NP	I-ORG
om	om	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
gebruik	gebruik	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
glyfosaat	glyfosaat	N(soort,ev,basis,onz,stan)	B-NP	O
,	,	LET()	O	O
de	de	LID(bep)	B-NP	O
meest	veel	VNW(onbep,grad,sup)	I-NP	O
verkochte	verkopen	WW(vd,prenom,met-e)	I-NP	O
onkruidverdelger	onkruidverdelger	N(soort,ev,basis,zijd,stan)	I-NP	O
ter	te	VZ(versm)	B-NP	O
wereld	wereld	N(soort,ev,basis,zijd,stan)	I-NP	O
,	,	LET()	O	O
tegen	tegen	VZ(init)	B-PP	O
december	december	N(eigen,ev,basis,zijd,stan)	B-NP	O
2022	2022	TW(hoofd,vrij)	I-NP	O
helemaal	helemaal	BW()	B-ADVP	O
uit	uit	VZ(fin)	O	O
te	te	VZ(init)	B-VP	O
faseren	faseren	WW(inf,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
Dat	dat	VNW(aanw,pron,3o,ev)	B-NP	O
maakte	maken	WW(pv,verl,ev)	B-VP	O
minister	minister	N(soort,ev,basis,zijd,stan)	B-NP	O
van	van	VZ(init)	B-PP	O
Landbouw	landbouw	N(soort,ev,basis,zijd,stan)	B-NP	B-MISC
Denis	Denis	SPEC(deeleigen)	I-NP	B-PER
Ducarme	Ducarme	SPEC(deeleigen)	I-NP	I-PER
vanmorgen	vanmorgen	BW()	B-AP	O
bekend	bekend	ADJ(vrij,basis,zonder)	I-AP	O
.	.	LET()	O	O
				
