Ruslands	Rusland	N(eigen,ev,basis,gen)	B-NP	B-LOC
meest	veel	VNW(onbep,grad,sup)	B-NP	O
gehate	gehaat	ADJ(prenom,basis,met-e,stan)	I-NP	O
betoger	betoger	N(soort,ev,basis,zijd,stan)	I-NP	O
ligt	liggen	WW(pv,tgw,met-t)	B-VP	O
in	in	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
ziekenhuis	ziekenhuis	N(soort,ev,basis,onz,stan)	I-NP	O
				
SLAG	SLAG	N(soort,ev,basis,zijd,stan)	B-NP	O
EN	EN	VG(neven)	O	O
TERUGSLAG	TERUGSLAG	N(soort,ev,basis,zijd,stan)	B-NP	O
-	-	LET()	O	O
Voormalig	voormalig	ADJ(prenom,basis,zonder)	B-NP	O
pro-Poetin-betoger	pro-Poetin-betoger	N(soort,ev,basis,onz,stan)	I-NP	O
in	in	VZ(init)	O	O
elkaar	elkaar	VNW(recip,pron,persoon,mv)	O	O
gemept	meppen	WW(vd,vrij,zonder)	B-VP	O
				
Sergej	Sergej	SPEC(deeleigen)	B-NP	B-PER
Seljoekov	Seljoekov	SPEC(deeleigen)	I-NP	I-PER
,	,	LET()	O	O
een	een	LID(onbep)	B-NP	O
voormalig	voormalig	ADJ(prenom,basis,zonder)	I-NP	O
pro-Poetin-betoger	pro-Poetin-betoger	N(soort,ev,basis,zijd,stan)	I-NP	B-MISC
die	die	VNW(betr,pron,persoon,getal)	B-NP	O
tientallen	tiental	N(soort,mv,basis)	I-NP	O
oppositieaanhangers	oppositieaanhanger	N(soort,mv,basis)	I-NP	O
aframmelde	aframmelen	WW(pv,verl,ev)	B-VP	O
maar	maar	BW()	B-ADVP	O
in	in	VZ(init)	B-PP	O
mei	mei	N(eigen,ev,basis,zijd,stan)	B-NP	O
2017	2017	TW(hoofd,vrij)	I-NP	O
overstapte	overstappen	WW(pv,verl,ev)	B-VP	O
naar	naar	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
oppositiekamp	oppositiekamp	N(soort,ev,basis,onz,stan)	I-NP	O
,	,	LET()	O	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
in	in	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
ziekenhuis	ziekenhuis	N(soort,ev,basis,onz,stan)	I-NP	O
gemept	meppen	WW(vd,vrij,zonder)	B-VP	O
door	door	VZ(init)	O	O
...	...	LET()	O	O
				
pro-Poetin-betogers	pro-Poetin-betoger	N(soort,mv,basis)	B-NP	O
.	.	LET()	O	O
				
Het	het	LID(bep)	B-NP	O
internet	internet	N(soort,ev,basis,onz,stan)	I-NP	O
geniet	genieten	WW(pv,tgw,ev)	B-VP	O
:	:	LET()	O	O
'	'	LET()	O	O
Dit	dit	VNW(aanw,pron,3o,ev)	B-NP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
de	de	LID(bep)	B-NP	O
zuiverste	zuiver	ADJ(prenom,sup,met-e,stan)	I-NP	O
vorm	vorm	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
karma	karma	N(soort,ev,basis,zijd,stan)	B-NP	O
.	.	LET()	O	O
'	'	LET()	O	O
				
