Amerikaanse	Amerikaans	ADJ(prenom,basis,met-e,stan)	B-NP	B-LOC
admiraal	admiraal	N(soort,ev,basis,zijd,stan)	I-NP	O
op	op	VZ(init)	B-PP	O
rust	rust	N(soort,ev,basis,zijd,stan)	B-NP	O
vraagt	vragen	WW(pv,tgw,met-t)	B-VP	O
dat	dat	VG(onder)	O	O
Trump	Trump	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
ook	ook	BW()	B-ADVP	O
zijn	zijn	VNW(bez,det,3,ev)	B-NP	O
veiligheidsmachtiging	veiligheidsmachtiging	N(soort,ev,basis,zijd,stan)	I-NP	O
intrekt	intrekken	WW(pv,tgw,met-t)	B-VP	O
				
Admiraal	admiraal	N(soort,ev,basis,zijd,stan)	B-NP	O
op	op	VZ(init)	B-PP	O
rust	rust	N(soort,ev,basis,zijd,stan)	B-NP	O
William	William	SPEC(deeleigen)	I-NP	B-PER
McRaven	McRaven	SPEC(deeleigen)	I-NP	I-PER
,	,	LET()	O	O
die	die	VNW(betr,pron,persoon,getal)	B-NP	O
de	de	LID(bep)	B-NP	O
raid	raid	N(soort,ev,basis,zijd,stan)	I-NP	O
op	op	VZ(init)	B-PP	O
Osama	Osama	SPEC(deeleigen)	B-NP	B-PER
bin	bin	SPEC(deeleigen)	I-NP	I-PER
Laden	Laden	SPEC(deeleigen)	I-NP	I-PER
leidde	leiden	WW(pv,verl,ev)	B-VP	O
,	,	LET()	O	O
heeft	hebben	WW(pv,tgw,met-t)	B-VP	O
donderdag	donderdag	N(eigen,ev,basis,zijd,stan)	B-NP	O
de	de	LID(bep)	B-NP	O
beslissing	beslissing	N(soort,ev,basis,zijd,stan)	I-NP	O
veroordeeld	veroordelen	WW(vd,vrij,zonder)	B-VP	O
van	van	VZ(init)	B-PP	O
president	president	N(soort,ev,basis,zijd,stan)	B-NP	O
Donald	Donald	SPEC(deeleigen)	I-NP	B-PER
Trump	Trump	SPEC(deeleigen)	I-NP	I-PER
om	om	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
veiligheidsmachtiging	veiligheidsmachtiging	N(soort,ev,basis,zijd,stan)	I-NP	O
in	in	VZ(fin)	O	O
te	te	VZ(init)	B-VP	O
trekken	trekken	WW(inf,vrij,zonder)	I-VP	O
van	van	VZ(init)	B-PP	O
gewezen	wijzen	WW(vd,prenom,zonder)	B-NP	O
CIA-baas	CIA-baas	N(soort,ev,basis,zijd,stan)	I-NP	B-MISC
John	John	SPEC(deeleigen)	I-NP	B-PER
Brennan	Brennan	SPEC(deeleigen)	I-NP	I-PER
.	.	LET()	O	O
				
McRaven	McRaven	N(eigen,ev,basis,zijd,stan)	B-NP	B-ORG
vroeg	vragen	WW(pv,verl,ev)	B-VP	O
dat	dat	VG(onder)	O	O
de	de	LID(bep)	O	O
zijne	zijn	VNW(bez,det,3m,ev)	O	O
ook	ook	BW()	B-ADVP	O
zou	zullen	WW(pv,verl,ev)	B-VP	O
ingetrokken	intrekken	WW(vd,vrij,zonder)	I-VP	O
worden	worden	WW(inf,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
