Macrons	Macron	N(eigen,ev,basis,gen)	B-NP	B-PER
troepen	troep	N(soort,mv,basis)	I-NP	O
'	'	LET()	O	O
staan	staan	WW(pv,tgw,mv)	B-VP	O
op	op	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
randje	randje	N(soort,ev,dim,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
burn-out	burn-out	N(soort,ev,basis,zijd,stan)	I-NP	O
'	'	LET()	O	O
				
'	'	LET()	O	O
De	de	LID(bep)	B-NP	O
macronie	macronie	N(soort,ev,basis,zijd,stan)	I-NP	O
staat	staan	WW(pv,tgw,met-t)	B-VP	O
op	op	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
randje	randje	N(soort,ev,dim,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
burn-out	burn-out	N(soort,ev,basis,zijd,stan)	I-NP	O
'	'	LET()	O	O
,	,	LET()	O	O
titelde	titelen	WW(pv,verl,ev)	B-VP	O
Le	Le	SPEC(deeleigen)	B-NP	B-PRO
Monde	Monde	SPEC(deeleigen)	I-NP	I-PRO
gisteren	gisteren	BW()	B-ADVP	O
.	.	LET()	O	O
				
Ministers	minister	N(soort,mv,basis)	B-NP	O
,	,	LET()	O	O
ambtenaren	ambtenaar	N(soort,mv,basis)	B-NP	O
,	,	LET()	O	O
kabinetsmedewerkers	kabinetsmedewerker	N(soort,mv,basis)	B-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
president	president	N(soort,ev,basis,zijd,stan)	I-NP	O
…	…	LET()	I-NP	O
				
ze	ze	VNW(pers,pron,3,mv)	B-NP	O
zijn	zijn	WW(pv,tgw,mv)	B-VP	O
volgens	volgens	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
krant	krant	N(soort,ev,basis,zijd,stan)	I-NP	O
allemaal	allemaal	BW()	B-ADVP	O
bijna	bijna	BW()	B-ADVP	O
opgebrand	opbranden	WW(vd,vrij,zonder)	B-VP	O
en	en	VG(neven)	O	O
uitgeput	uitputten	WW(vd,vrij,zonder)	B-VP	O
.	.	LET()	O	O
				
