Trumps	Trumps	SPEC(deeleigen)	B-NP	B-PER
economische	economisch	ADJ(prenom,basis,met-e,stan)	I-NP	O
sancties	sanctie	N(soort,mv,basis)	I-NP	O
jagen	jagen	WW(pv,tgw,mv)	B-VP	O
Iraniërs	iraniër	N(soort,mv,basis)	B-NP	B-LOC
de	de	LID(bep)	B-NP	O
straat	straat	N(soort,ev,basis,zijd,stan)	I-NP	O
op	op	VZ(fin)	O	O
				
Het	het	LID(bep)	B-NP	O
vooruitzicht	vooruitzicht	N(soort,ev,basis,onz,stan)	I-NP	O
op	op	VZ(init)	B-PP	O
nieuwe	nieuw	ADJ(prenom,basis,met-e,stan)	B-NP	O
Amerikaanse	Amerikaans	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
sancties	sanctie	N(soort,mv,basis)	I-NP	O
treft	treffen	WW(pv,tgw,met-t)	B-VP	O
nu	nu	BW()	B-ADVP	O
al	al	BW()	B-ADVP	O
de	de	LID(bep)	B-NP	O
Iraanse	iraans	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
economie	economie	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
Sinds	sinds	VZ(init)	B-PP	O
maandag	maandag	N(eigen,ev,basis,zijd,stan)	B-NP	O
wordt	worden	WW(pv,tgw,met-t)	B-VP	O
er	er	VNW(aanw,adv-pron,3,getal)	B-NP	O
geprotesteerd	protesteren	WW(vd,vrij,zonder)	B-VP	O
tegen	tegen	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
peperdure	peperduur	ADJ(prenom,basis,met-e,stan)	I-NP	O
dollar	dollar	N(soort,ev,basis,zijd,stan)	I-NP	O
.	.	LET()	O	O
				
