Alweer	alweer	BW()	B-ADVP	O
confrontaties	confrontatie	N(soort,mv,basis)	B-NP	O
tussen	tussen	VZ(init)	B-PP	O
Palestijnen	Palestijn	N(eigen,mv,basis)	B-NP	B-LOC
en	en	VG(neven)	O	O
Israëlische	Israëlisch	ADJ(prenom,basis,met-e,stan)	B-NP	B-LOC
soldaten	soldaat	N(soort,mv,basis)	I-NP	O
				
Na	na	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
islamitische	islamitisch	ADJ(prenom,basis,met-e,stan)	I-NP	O
vrijdagsgebed	vrijdagsgebed	N(soort,ev,basis,onz,stan)	I-NP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
het	het	VNW(pers,pron,3,ev,onz)	B-NP	O
tot	tot	VZ(init)	B-PP	O
confrontaties	confrontatie	N(soort,mv,basis)	B-NP	O
gekomen	komen	WW(vd,vrij,zonder)	B-VP	O
tussen	tussen	VZ(init)	B-PP	O
Palestijnen	Palestijn	N(eigen,mv,basis)	B-NP	B-LOC
en	en	VG(neven)	O	O
Israëlische	Israëlisch	ADJ(prenom,basis,met-e,stan)	B-NP	B-LOC
soldaten	soldaat	N(soort,mv,basis)	I-NP	O
in	in	VZ(init)	B-PP	O
Jeruzalem	Jeruzalem	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
,	,	LET()	O	O
Bethlehem	Bethlehem	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
en	en	VG(neven)	O	O
aan	aan	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
grensovergang	grensovergang	N(soort,ev,basis,zijd,stan)	I-NP	O
Kalandia	Kalandia	N(eigen,ev,basis,onz,stan)	I-NP	B-LOC
,	,	LET()	O	O
tussen	tussen	VZ(init)	B-PP	O
Jeruzalem	Jeruzalem	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
en	en	VG(neven)	O	O
de	de	LID(bep)	B-NP	O
Westelijke	westelijk	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
Jordaanoever	Jordaanoever	N(eigen,ev,basis,zijd,stan)	I-NP	I-LOC
.	.	LET()	O	O
				
