Extreemrechts	extreemrechts	ADJ(vrij,basis,zonder)	B-AP	O
in	in	VZ(init)	B-PP	O
VS	VS	N(eigen,mv,basis)	B-NP	B-LOC
:	:	LET()	O	O
Vandaag	vandaag	BW()	B-ADVP	O
start	starten	WW(pv,tgw,ev)	B-VP	O
nieuwe	nieuw	ADJ(prenom,basis,met-e,stan)	B-NP	O
burgeroorlog	burgeroorlog	N(soort,ev,basis,zijd,stan)	I-NP	O
				
WASHINGTON	WASHINGTON	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
				
Het	het	VNW(pers,pron,3,ev,onz)	B-NP	O
begon	beginnen	WW(pv,verl,ev)	B-VP	O
eind	eind	N(soort,ev,basis,onz,stan)	B-NP	O
september	september	N(eigen,ev,basis,zijd,stan)	I-NP	O
met	met	VZ(init)	B-PP	O
geruchten	gerucht	N(soort,mv,basis)	B-NP	O
op	op	VZ(init)	B-PP	O
extreemrechtse	extreemrechts	ADJ(prenom,basis,met-e,stan)	B-NP	O
sites	site	N(soort,mv,basis)	I-NP	O
en	en	VG(neven)	O	O
sociale	sociaal	ADJ(prenom,basis,met-e,stan)	B-NP	O
media	media	N(soort,mv,basis)	I-NP	O
.	.	LET()	O	O
				
Vandaag	vandaag	BW()	B-ADVP	O
start	starten	WW(pv,tgw,ev)	B-VP	O
volgens	volgens	VZ(init)	O	O
'	'	LET()	O	O
alt-right	alt-right	N(soort,ev,basis,onz,stan)	B-NP	O
'	'	LET()	O	O
,	,	LET()	O	O
een	een	LID(onbep)	B-NP	O
extreemrechtse	extreemrechts	ADJ(prenom,basis,met-e,stan)	I-NP	O
Amerikaanse	Amerikaans	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
organisatie	organisatie	N(soort,ev,basis,zijd,stan)	I-NP	O
,	,	LET()	O	O
een	een	LID(onbep)	B-NP	O
nieuwe	nieuw	ADJ(prenom,basis,met-e,stan)	I-NP	O
burgeroorlog	burgeroorlog	N(soort,ev,basis,zijd,stan)	I-NP	O
in	in	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
VS	VS	N(eigen,mv,basis)	I-NP	B-LOC
,	,	LET()	O	O
opgezet	opzetten	WW(vd,vrij,zonder)	B-VP	O
door	door	VZ(init)	B-PP	O
wat	wat	VNW(vb,pron,3o,ev)	B-NP	O
ze	ze	VNW(pers,pron,3,mv)	I-NP	O
antifascistische	antifascistisch	ADJ(prenom,basis,met-e,stan)	I-NP	O
hordes	horde	N(soort,mv,basis)	I-NP	O
of	of	VG(neven)	O	O
'	'	LET()	O	O
antifa	antifa	SPEC(vreemd)	B-NP	O
'	'	LET()	O	O
noemen	noemen	WW(pv,tgw,mv)	B-VP	O
.	.	LET()	O	O
				
