SP.A	SP.A	N(eigen,ev,basis,zijd,stan)	B-NP	B-ORG
wil	willen	WW(pv,tgw,ev)	B-VP	O
realistisch	realistisch	ADJ(prenom,basis,zonder)	B-NP	O
mobiliteitsplan	mobiliteitsplan	N(soort,ev,basis,onz,stan)	I-NP	O
en	en	VG(neven)	O	O
zerotolerantie	zerotolerantie	N(soort,ev,basis,zijd,stan)	B-NP	O
voor	voor	VZ(init)	B-PP	O
zwerfvuil	zwerfvuil	N(soort,ev,basis,zijd,stan)	B-NP	O
				
Grote	groot	ADJ(prenom,basis,met-e,stan)	B-NP	O
meerderheid	meerderheid	N(soort,ev,basis,zijd,stan)	I-NP	O
keurt	keuren	WW(pv,tgw,met-t)	B-VP	O
kandidaten	kandidaat	N(soort,mv,basis)	B-NP	O
goed	goed	ADJ(vrij,basis,zonder)	B-AP	O
				
De	de	LID(bep)	B-NP	O
SP.A-leden	SP.A-lid	N(soort,mv,basis)	I-NP	B-MISC
in	in	VZ(init)	B-PP	O
Antwerpen	Antwerpen	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
hebben	hebben	WW(pv,tgw,mv)	B-VP	O
de	de	LID(bep)	B-NP	O
lijst	lijst	N(soort,ev,basis,zijd,stan)	I-NP	O
voor	voor	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
gemeenteraadsverkiezingen	gemeenteraadsverkiezing	N(soort,mv,basis)	I-NP	O
met	met	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
grote	groot	ADJ(prenom,basis,met-e,stan)	I-NP	O
meerderheid	meerderheid	N(soort,ev,basis,zijd,stan)	I-NP	O
goedgekeurd	goedkeuren	WW(vd,vrij,zonder)	B-VP	O
.	.	LET()	O	O
				
De	de	LID(bep)	B-NP	O
geplaagde	plagen	WW(vd,prenom,met-e)	I-NP	O
voorzitter	voorzitter	N(soort,ev,basis,zijd,stan)	I-NP	O
Tom	Tom	SPEC(deeleigen)	I-NP	B-PER
Meeuws	Meeuws	SPEC(deeleigen)	I-NP	I-PER
blijft	blijven	WW(pv,tgw,met-t)	B-VP	O
dus	dus	BW()	B-ADVP	O
op	op	VZ(init)	B-PP	O
plaats	plaats	N(soort,ev,basis,zijd,stan)	B-NP	O
twee	twee	TW(hoofd,vrij)	I-NP	O
staan	staan	WW(inf,vrij,zonder)	B-VP	O
.	.	LET()	O	O
				
Het	het	VNW(pers,pron,3,ev,onz)	B-NP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
tijd	tijd	N(soort,ev,basis,zijd,stan)	B-NP	O
voor	voor	VZ(init)	B-PP	O
inhoud	inhoud	N(soort,ev,basis,zijd,stan)	B-NP	O
,	,	LET()	O	O
zegt	zeggen	WW(pv,tgw,met-t)	B-VP	O
lijsttrekker	lijsttrekker	N(soort,ev,basis,zijd,stan)	B-NP	O
Jinnih	Jinnih	SPEC(deeleigen)	I-NP	B-PER
Beels	Beels	SPEC(deeleigen)	I-NP	I-PER
.	.	LET()	O	O
				
