#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.EntitiesLETSpreanno|Namedentitytype
#T_SP=webanno.custom.Nounphrasepreanno|
#T_SP=webanno.custom.Mainclausepreanno|
#T_RL=webanno.custom.Samespanmainclausepreanno|BT_webanno.custom.Mainclausepreanno


#Text=Trump dreigt Assad af na nieuwe gifgasaanval
1-1	0-5	Trump	_	*	*[60]	_
1-2	6-12	dreigt	_	_	*[60]	_
1-3	13-18	Assad	PER	*	*[60]	_
1-4	19-21	af	_	_	*[60]	_
1-5	22-24	na	_	_	_	_
1-6	25-31	nieuwe	_	*[5]	_	_
1-7	32-44	gifgasaanval	_	*[5]	_	_

#Text=Weer tientallen doden in Syrië , vanavond VN-spoedoverleg
2-1	46-50	Weer	_	_	_	_
2-2	51-61	tientallen	_	*[6]	_	_
2-3	62-67	doden	_	*[6]|*[7]	_	_
2-4	68-70	in	_	*[6]|*[7]	_	_
2-5	71-76	Syrië	LOC	*[6]|*[7]|*[8]	_	_
2-6	77-78	,	_	_	_	_
2-7	79-87	vanavond	_	_	_	_
2-8	88-103	VN-spoedoverleg	MISC	_	_	_

#Text=Ziekelijk !
3-1	105-114	Ziekelijk	_	_	_	_
3-2	115-116	!	_	_	_	_

#Text=Veel doden , ook vrouwen en kinderen , in een onzinnige chemische aanval .
4-1	118-122	Veel	_	*[9]|*[10]	_	_
4-2	123-128	doden	_	*[9]|*[10]	_	_
4-3	129-130	,	_	_	_	_
4-4	131-134	ook	_	*[11]|*[12]	_	_
4-5	135-142	vrouwen	_	*[11]|*[12]	_	_
4-6	143-145	en	_	*[11]	_	_
4-7	146-154	kinderen	_	*[11]|*[13]	_	_
4-8	155-156	,	_	_	_	_
4-9	157-159	in	_	*[14]|*[15]	_	_
4-10	160-163	een	_	*[14]|*[15]|*[16]	_	_
4-11	164-173	onzinnige	_	*[14]|*[15]|*[16]	_	_
4-12	174-183	chemische	_	*[14]|*[15]|*[16]	_	_
4-13	184-190	aanval	_	*[14]|*[15]|*[16]	_	_
4-14	191-192	.	_	_	_	_

#Text=President Bashar al-Assad zal hier een zware prijs voor betalen .
5-1	194-203	President	_	*[17]	*	_
5-2	204-210	Bashar	PER[1]	*[17]|*[18]	_	_
5-3	211-219	al-Assad	PER[1]	*[17]|*[18]	_	_
5-4	220-223	zal	_	_	*[61]	5-1[0_61]
5-5	224-228	hier	_	_	*[61]	_
5-6	229-232	een	_	*[19]	*[61]	_
5-7	233-238	zware	_	*[19]	_	_
5-8	239-244	prijs	_	*[19]	*[62]	5-4[61_62]
5-9	245-249	voor	_	_	*[62]	_
5-10	250-257	betalen	_	_	*[62]	_
5-11	258-259	.	_	_	_	_

#Text=Met die woorden heeft Amerikaans president Donald Trump gisteren via Twitter gereageerd op de nieuwe chemische aanval in Syrië .
6-1	261-264	Met	_	_	_	_
6-2	265-268	die	_	*[20]	_	_
6-3	269-276	woorden	_	*[20]	_	_
6-4	277-282	heeft	_	_	*	_
6-5	283-293	Amerikaans	LOC	*[21]	_	_
6-6	294-303	president	_	*[21]	*	6-4
6-7	304-310	Donald	PER[2]	*[21]|*[22]	_	_
6-8	311-316	Trump	PER[2]	*[21]|*[22]	_	_
6-9	317-325	gisteren	_	_	_	_
6-10	326-329	via	_	_	_	_
6-11	330-337	Twitter	LOC	*	_	_
6-12	338-348	gereageerd	_	_	*[63]	6-6[0_63]
6-13	349-351	op	_	_	*[63]	_
6-14	352-354	de	_	*[23]	*[63]	_
6-15	355-361	nieuwe	_	*[23]	_	_
6-16	362-371	chemische	_	*[23]	_	_
6-17	372-378	aanval	_	*[23]	*	6-12[63_0]
6-18	379-381	in	_	*[23]	_	_
6-19	382-387	Syrië	LOC	*[23]|*[24]	_	_
6-20	388-389	.	_	_	_	_

#Text=Volgens de oppositie en verschillende ngo's liet een helikopter van de Syrische luchtmacht zaterdag vatenbommen vol chemische stoffen los op Douma , een stad in Oost-Ghouta , ten oosten van Damascus .
7-1	391-398	Volgens	_	_	_	_
7-2	399-401	de	_	*[25]|*[26]	_	_
7-3	402-411	oppositie	_	*[25]|*[26]	_	_
7-4	412-414	en	_	*[25]	_	_
7-5	415-428	verschillende	_	*[25]|*[27]	_	_
7-6	429-434	ngo's	_	*[25]|*[27]	_	_
7-7	435-439	liet	_	_	_	_
7-8	440-443	een	_	*[28]|*[29]	_	_
7-9	444-454	helikopter	_	*[28]|*[29]	_	_
7-10	455-458	van	_	*[28]	_	_
7-11	459-461	de	_	*[28]|*[30]	_	_
7-12	462-470	Syrische	LOC	*[28]|*[30]	_	_
7-13	471-481	luchtmacht	_	*[28]|*[30]	_	_
7-14	482-490	zaterdag	_	*[28]	_	_
7-15	491-502	vatenbommen	_	*[28]	_	_
7-16	503-506	vol	_	_	_	_
7-17	507-516	chemische	_	*[31]	_	_
7-18	517-524	stoffen	_	*[31]	_	_
7-19	525-528	los	_	_	_	_
7-20	529-531	op	_	_	_	_
7-21	532-537	Douma	PER	*	_	_
7-22	538-539	,	_	_	_	_
7-23	540-543	een	_	*[32]|*[33]	_	_
7-24	544-548	stad	_	*[32]|*[33]	_	_
7-25	549-551	in	_	*[32]|*[33]	_	_
7-26	552-563	Oost-Ghouta	LOC	*[32]|*[33]|*[34]	_	_
7-27	564-565	,	_	_	_	_
7-28	566-569	ten	_	*[35]|*[36]	_	_
7-29	570-576	oosten	_	*[35]|*[36]	_	_
7-30	577-580	van	_	*[35]|*[36]	_	_
7-31	581-589	Damascus	LOC	*[35]|*[36]|*[37]	_	_
7-32	590-591	.	_	_	_	_

#Text=Afhankelijk van de bron kwamen 11 tot 150 mensen om het leven .
8-1	593-604	Afhankelijk	_	_	_	_
8-2	605-608	van	_	_	_	_
8-3	609-611	de	_	*[38]	_	_
8-4	612-616	bron	_	*[38]	_	_
8-5	617-623	kwamen	_	_	*[64]	_
8-6	624-626	11	_	*[39]|*[40]	*[64]	_
8-7	627-630	tot	_	*[39]	*[64]	_
8-8	631-634	150	_	*[39]|*[41]	*[64]	_
8-9	635-641	mensen	_	*[39]	*[64]	_
8-10	642-644	om	_	_	*[64]	_
8-11	645-648	het	_	_	*[64]	_
8-12	649-654	leven	_	_	*[64]	_
8-13	655-656	.	_	_	_	_

#Text=Het Syrische leger ontkende gistermiddag chemische wapens te hebben ingezet , maar het Westen en de VS denken daar anders over .
9-1	658-661	Het	_	*[42]	*	_
9-2	662-670	Syrische	LOC	*[42]	_	_
9-3	671-676	leger	_	*[42]	*[65]	9-1[0_65]
9-4	677-685	ontkende	_	_	*[65]	_
9-5	686-698	gistermiddag	_	_	_	_
9-6	699-708	chemische	_	*[43]	_	_
9-7	709-715	wapens	_	*[43]	*[66]	9-3[65_66]
9-8	716-718	te	_	_	*[66]	_
9-9	719-725	hebben	_	_	*[66]	_
9-10	726-733	ingezet	_	_	*[66]	_
9-11	734-735	,	_	_	_	_
9-12	736-740	maar	_	_	_	_
9-13	741-744	het	_	*[44]|*[45]	*[67]	_
9-14	745-751	Westen	LOC	*[44]|*[45]	*[67]	_
9-15	752-754	en	_	*[44]	*[67]	_
9-16	755-757	de	_	*[44]|*[46]	*[67]	_
9-17	758-760	VS	LOC	*[44]|*[46]	*[67]	_
9-18	761-767	denken	_	_	*[67]	_
9-19	768-772	daar	_	_	*[67]	_
9-20	773-779	anders	_	_	_	_
9-21	780-784	over	_	_	*	9-13[67_0]
9-22	785-786	.	_	_	_	_

#Text=Vanavond vindt in New York een spoedvergadering van de VN-Veiligheidsraad plaats .
10-1	788-796	Vanavond	_	_	_	_
10-2	797-802	vindt	_	_	*	_
10-3	803-805	in	_	_	_	_
10-4	806-809	New	LOC[3]	*[47]	_	_
10-5	810-814	York	LOC[3]	*[47]	_	_
10-6	815-818	een	_	*[48]	*[68]	10-2[0_68]
10-7	819-835	spoedvergadering	_	*[48]	*[68]	_
10-8	836-839	van	_	*[48]	_	_
10-9	840-842	de	_	*[48]|*[49]	_	_
10-10	843-861	VN-Veiligheidsraad	ORG	*[48]|*[49]	_	_
10-11	862-868	plaats	_	_	*	10-6[68_0]
10-12	869-870	.	_	_	_	_

#Text=Na de aanval op 4 april 2017 in Khan Sjeikhoen bij Idlib , waar gifgas 87 burgers doodde , gaf Trump al eens het bevel voor een raketaanval op Syrische regeringsdoelwitten .
11-1	872-874	Na	_	_	_	_
11-2	875-877	de	_	*[50]	_	_
11-3	878-884	aanval	_	*[50]	_	_
11-4	885-887	op	_	*[50]	_	_
11-5	888-889	4	_	*[50]|*[51]	_	_
11-6	890-895	april	_	*[50]|*[51]	_	_
11-7	896-900	2017	_	*[50]|*[51]	_	_
11-8	901-903	in	_	*[50]	_	_
11-9	904-908	Khan	LOC[4]	*[50]|*[52]	_	_
11-10	909-918	Sjeikhoen	LOC[4]	*[53]	_	_
11-11	919-922	bij	_	*[53]	_	_
11-12	923-928	Idlib	LOC	*[53]|*[54]	_	_
11-13	929-930	,	_	_	_	_
11-14	931-935	waar	_	*[55]	_	_
11-15	936-942	gifgas	_	*[55]	_	_
11-16	943-945	87	_	*[55]|*[56]	_	_
11-17	946-953	burgers	_	*[55]|*[56]	_	_
11-18	954-960	doodde	_	*[55]	_	_
11-19	961-962	,	_	_	_	_
11-20	963-966	gaf	_	_	_	_
11-21	967-972	Trump	PER	*	_	_
11-22	973-975	al	_	_	_	_
11-23	976-980	eens	_	_	_	_
11-24	981-984	het	_	*[57]	_	_
11-25	985-990	bevel	_	*[57]	_	_
11-26	991-995	voor	_	*[57]	_	_
11-27	996-999	een	_	*[57]|*[58]	_	_
11-28	1000-1011	raketaanval	_	*[57]|*[58]	_	_
11-29	1012-1014	op	_	*[57]|*[58]	_	_
11-30	1015-1023	Syrische	LOC	*[57]|*[58]|*[59]	_	_
11-31	1024-1043	regeringsdoelwitten	_	*[57]|*[58]|*[59]	_	_
11-32	1044-1045	.	_	_	_	_
