Tijdlijn	Tijdlijn	N(eigen,ev,basis,zijd,stan)	B-NP	B-PER
:	:	LET()	O	O
het	het	LID(bep)	B-NP	O
Israëlisch-Palestijns	Israëlisch-Palestijns	ADJ(prenom,basis,zonder)	I-NP	B-MISC
conflict	conflict	N(soort,ev,basis,onz,stan)	I-NP	O
				
Het	het	LID(bep)	B-NP	O
Israëlisch-Palestijns	Israëlisch-Palestijns	ADJ(prenom,basis,zonder)	I-NP	B-MISC
conflict	conflict	N(soort,ev,basis,onz,stan)	I-NP	O
ontstond	ontstaan	WW(pv,verl,ev)	B-VP	O
na	na	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
tweede	twee	TW(rang,prenom,stan)	I-NP	O
wereldoorlog	wereldoorlog	N(soort,ev,basis,zijd,stan)	I-NP	O
,	,	LET()	O	O
toen	toen	BW()	B-ADVP	O
werd	worden	WW(pv,verl,ev)	B-VP	O
beslist	beslissen	WW(vd,vrij,zonder)	I-VP	O
een	een	LID(onbep)	B-NP	O
Joodse	joods	ADJ(prenom,basis,met-e,stan)	I-NP	B-LOC
staat	staat	N(soort,ev,basis,zijd,stan)	I-NP	O
te	te	VZ(init)	B-VP	O
stichten	stichten	WW(inf,vrij,zonder)	I-VP	O
in	in	VZ(init)	B-PP	O
Palestina	Palestina	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
.	.	LET()	O	O
				
Honderdduizenden	honderdduizend	TW(hoofd,nom,mv-n,basis)	B-NP	O
Palestijnen	Palestijn	N(eigen,mv,basis)	I-NP	B-LOC
werden	worden	WW(pv,verl,mv)	B-VP	O
uit	uit	VZ(fin)	B-NP	O
de	de	LID(bep)	I-NP	O
nieuwe	nieuw	ADJ(prenom,basis,met-e,stan)	I-NP	O
staat	staat	N(soort,ev,basis,zijd,stan)	I-NP	O
verdreven	verdrijven	WW(vd,vrij,zonder)	B-VP	O
.	.	LET()	O	O
				
Sindsdien	sindsdien	BW()	B-ADVP	O
bekampen	bekampen	WW(pv,tgw,mv)	B-VP	O
Joden	jood	N(soort,mv,basis)	B-NP	B-LOC
en	en	VG(neven)	O	O
Palestijnen	Palestijn	N(eigen,mv,basis)	B-NP	B-LOC
elkaar	elkaar	VNW(recip,pron,persoon,mv)	O	O
over	over	VZ(init)	B-PP	O
wie	wie	VNW(vb,pron,3p,getal)	B-NP	O
welk	welk	VNW(vb,det)	I-NP	O
deel	deel	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
het	het	LID(bep)	B-NP	O
land	land	N(soort,ev,basis,onz,stan)	I-NP	O
krijgt	krijgen	WW(pv,tgw,met-t)	B-VP	O
.	.	LET()	O	O
				
Het	het	LID(bep)	B-NP	O
conflict	conflict	N(soort,ev,basis,onz,stan)	I-NP	O
schippert	schipperen	WW(pv,tgw,met-t)	B-VP	O
al	al	BW()	B-NP	O
decennia	decennium	N(soort,mv,basis)	I-NP	O
lang	lang	ADJ(vrij,basis,zonder)	B-AP	O
tussen	tussen	VZ(init)	B-PP	O
vredesonderhandelingen	vredesonderhandeling	N(soort,mv,basis)	B-NP	O
,	,	LET()	O	O
-	-	LET()	O	O
akkoorden	akkoord	N(soort,mv,basis)	B-NP	O
en	en	VG(neven)	O	O
nieuwe	nieuw	ADJ(prenom,basis,met-e,stan)	B-NP	O
invallen	inval	N(soort,mv,basis)	I-NP	O
.	.	LET()	O	O
				
Een	een	LID(onbep)	B-NP	O
overzicht	overzicht	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
belangrijkste	belangrijk	ADJ(prenom,sup,met-e,stan)	I-NP	O
mijlpalen	mijlpaal	N(soort,mv,basis)	I-NP	O
.	.	LET()	O	O
				
