Groen	groen	ADJ(vrij,basis,zonder)	B-AP	O
wil	willen	WW(pv,tgw,ev)	B-VP	O
u	u	VNW(pers,pron,2b,getal)	B-NP	O
laten	laten	WW(inf,vrij,zonder)	B-VP	O
bepalen	bepalen	WW(inf,vrij,zonder)	I-VP	O
hoeveel	hoeveel	TW(hoofd,vrij)	B-NP	O
u	u	VNW(pers,pron,2b,getal)	B-NP	O
werkt	werken	WW(pv,tgw,met-t)	B-VP	O
dankzij	dankzij	VZ(init)	B-PP	O
welvaartsgarantie	welvaartsgarantie	N(soort,ev,basis,zijd,stan)	B-NP	O
				
De	de	LID(bep)	B-NP	O
partij	partij	N(soort,ev,basis,zijd,stan)	I-NP	O
Groen	Groen	N(eigen,ev,basis,zijd,stan)	I-NP	B-ORG
wil	willen	WW(pv,tgw,ev)	B-VP	O
dat	dat	VG(onder)	O	O
iedereen	iedereen	VNW(onbep,pron,3p,ev)	B-NP	O
op	op	VZ(init)	B-PP	O
termijn	termijn	N(soort,ev,basis,zijd,stan)	B-NP	O
kan	kunnen	WW(pv,tgw,ev)	B-VP	O
beslissen	beslissen	WW(inf,vrij,zonder)	I-VP	O
hoeveel	hoeveel	VG(onder)	O	O
hij	hij	VNW(pers,pron,3,ev,masc)	B-NP	O
of	of	VG(neven)	O	O
zij	zij	VNW(pers,pron,3v,ev,fem)	B-NP	O
werkt	werken	WW(pv,tgw,met-t)	B-VP	O
.	.	LET()	O	O
				
De	de	LID(bep)	B-NP	O
groenen	groen	ADJ(nom,basis,met-e,mv-n)	I-NP	O
willen	willen	WW(pv,tgw,mv)	B-VP	O
een	een	LID(onbep)	B-NP	O
welvaartsgarantie	welvaartsgarantie	N(soort,ev,basis,zijd,stan)	I-NP	O
invoeren	invoeren	WW(inf,vrij,zonder)	B-VP	O
die	die	VNW(betr,pron,persoon,getal)	B-NP	O
garandeert	garanderen	WW(pv,tgw,met-t)	B-VP	O
dat	dat	VG(onder)	O	O
iedereen	iedereen	VNW(onbep,pron,3p,ev)	B-NP	O
een	een	LID(onbep)	B-NP	O
voldoende	voldoende	ADJ(prenom,basis,zonder)	I-NP	O
hoog	hoog	ADJ(prenom,basis,zonder)	I-NP	O
inkomen	inkomen	N(soort,ev,basis,onz,stan)	I-NP	O
heeft	hebben	WW(pv,tgw,met-t)	B-VP	O
,	,	LET()	O	O
ook	ook	BW()	B-ADVP	O
wanneer	wanneer	VG(onder)	O	O
iemand	iemand	VNW(onbep,pron,3p,ev)	O	O
minder	weinig	VNW(onbep,grad,comp)	O	O
wil	willen	WW(pv,tgw,ev)	B-VP	O
of	of	VG(neven)	O	O
kan	kunnen	WW(pv,tgw,ev)	B-VP	O
werken	werken	WW(inf,vrij,zonder)	I-VP	O
.	.	LET()	O	O
				
Dat	dat	VNW(aanw,det)	B-NP	O
voorstel	voorstel	N(soort,ev,basis,onz,stan)	I-NP	O
is	zijn	WW(pv,tgw,ev)	B-VP	O
zaterdag	zaterdag	N(eigen,ev,basis,zijd,stan)	B-NP	O
op	op	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
partijcongres	partijcongres	N(soort,ev,basis,onz,stan)	I-NP	O
in	in	VZ(init)	B-PP	O
Anderlecht	Anderlecht	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
goedgekeurd	goedkeuren	WW(vd,vrij,zonder)	B-VP	O
.	.	LET()	O	O
				
