Latijns-Amerika	Latijns-Amerika	N(eigen,ev,basis,onz,stan)	B-NP	B-LOC
zakt	zakken	WW(pv,tgw,met-t)	B-VP	O
weg	weg	BW()	B-ADVP	O
in	in	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
moeras	moeras	N(soort,ev,basis,onz,stan)	I-NP	O
van	van	VZ(init)	B-PP	O
corruptie	corruptie	N(soort,ev,basis,zijd,stan)	B-NP	O
				
De	de	LID(bep)	B-NP	O
latino's	latino	N(soort,mv,basis)	I-NP	O
krijgen	krijgen	WW(pv,tgw,mv)	B-VP	O
genoeg	genoeg	BW()	B-ADVP	O
van	van	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
corruptie	corruptie	N(soort,ev,basis,zijd,stan)	I-NP	O
,	,	LET()	O	O
die	die	VNW(betr,pron,persoon,getal)	B-NP	O
hun	hun	VNW(bez,det,3,mv)	B-NP	O
democratieën	democratie	N(soort,mv,basis)	I-NP	O
uitholt	uithollen	WW(pv,tgw,met-t)	B-VP	O
.	.	LET()	O	O
				
Op	op	VZ(init)	B-PP	O
een	een	LID(onbep)	B-NP	O
top	top	N(soort,ev,basis,zijd,stan)	I-NP	O
proberen	proberen	WW(pv,tgw,mv)	B-VP	O
leiders	leider	N(soort,mv,basis)	B-NP	O
iets	iets	VNW(onbep,pron,3o,ev)	B-NP	O
te	te	VZ(init)	B-VP	O
doen	doen	WW(inf,vrij,zonder)	I-VP	O
aan	aan	VZ(init)	B-PP	O
de	de	LID(bep)	B-NP	O
mentaliteit	mentaliteit	N(soort,ev,basis,zijd,stan)	I-NP	O
van	van	VZ(init)	O	O
'	'	LET()	O	O
voor	voor	VZ(init)	B-PP	O
mijn	mijn	VNW(bez,det,1,ev)	B-NP	O
vrienden	vriend	N(soort,mv,basis)	I-NP	O
alles	alles	VNW(onbep,pron,3o,ev)	B-NP	O
,	,	LET()	O	O
voor	voor	VZ(init)	B-PP	O
mijn	mijn	VNW(bez,det,1,ev)	B-NP	O
vijanden	vijand	N(soort,mv,basis)	I-NP	O
de	de	LID(bep)	B-NP	O
wet	wet	N(soort,ev,basis,zijd,stan)	I-NP	O
'	'	LET()	O	O
.	.	LET()	O	O
				
